"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,15,0,0,0,5,0,11,0,0,8,14,17,33,A
0,8,0,0,0,3,0,7,0,0,4,4,13,26,A
0,28,0,0,2,8,0,12,0,0,5,27,13,59,A
0,5,0,0,0,0,0,6,0,0,3,4,7,16,A
0,15,0,0,0,0,0,10,0,0,2,13,19,35,A
0,7,0,0,15,0,1,4,0,0,3,11,3,40,A
0,8,0,0,0,0,0,12,0,0,1,12,8,20,A
0,1,0,0,0,1,0,0,0,0,5,1,5,0,A
0,49,0,0,3,1,0,41,1,0,8,51,53,107,A
30,4,0,0,5,3,25,0,0,0,1,45,20,82,A
0,114,0,0,39,11,0,101,2,0,10,162,105,365,A
0,13,0,0,0,3,1,24,0,0,6,13,28,55,A
1,1,0,0,0,1,0,1,0,0,1,0,2,0,A
0,7,0,0,3,1,3,3,1,0,5,3,2,41,A
0,4,0,0,2,0,0,2,0,0,8,6,11,1,A
0,53,0,0,42,8,7,22,0,0,1,51,36,79,A
12,348,36,1,119,9,72,284,0,3,1,307,221,1423,A
0,42,0,0,22,0,0,27,0,0,8,63,39,139,A
0,32,0,0,1,0,0,9,0,0,4,68,37,70,A
0,1,0,0,0,1,0,0,0,0,3,1,3,0,A
0,6,0,0,7,0,0,0,0,0,1,0,2,51,A
0,4,0,0,0,0,0,3,0,0,10,4,5,5,A
0,4,0,0,0,13,0,3,0,0,6,4,10,23,A
0,39,0,0,5,13,0,46,2,0,9,86,37,165,A
0,6,0,0,0,7,0,4,0,0,5,33,7,24,A
0,99,0,3,0,5,2,85,1,0,7,72,82,316,A
0,39,0,0,0,0,0,30,1,0,8,60,28,73,A
1,5,4,0,2,1,11,0,0,0,1,17,12,17,A
0,5,0,0,0,6,0,3,0,0,4,0,8,20,A
0,26,0,0,0,19,0,25,0,0,27,40,33,2,A
0,12,0,0,0,3,2,5,0,0,8,15,19,21,A
6,94,0,0,42,2,7,92,0,1,1,68,86,214,A
1,68,0,11,0,0,7,42,2,0,9,47,52,275,A
21,96,6,0,47,2,27,62,0,0,1,117,57,255,A
2,52,0,0,19,4,10,47,0,1,1,103,33,218,A
0,6,0,0,4,13,0,4,0,0,1,7,7,11,A
0,9,0,0,2,0,0,11,0,0,8,8,13,5,A
0,26,0,0,15,0,0,29,0,0,6,36,36,72,A
1,5,0,0,2,1,5,4,0,0,4,13,10,29,A
1,42,0,2,2,0,5,16,0,0,6,78,26,123,A
4,20,0,0,9,3,4,33,0,0,2,21,17,69,A
0,3,0,0,0,0,0,1,0,0,4,2,5,0,A
0,7,0,0,0,5,0,3,0,0,3,17,4,11,A
0,19,0,0,2,0,0,10,0,0,7,29,24,77,A
0,1,0,0,0,0,0,1,0,0,4,3,5,6,A
2,7,1,0,14,3,12,1,0,0,1,11,7,31,A
0,24,0,0,2,12,0,24,0,0,6,22,21,122,A
0,4,0,0,0,0,0,4,0,0,3,5,7,4,A
0,10,0,0,0,0,0,5,2,0,3,4,3,43,A
16,15,0,0,11,4,8,15,0,0,1,3,16,95,A
0,52,0,0,2,32,1,47,3,0,8,38,59,199,A
2,16,0,0,9,9,2,23,0,0,1,14,12,33,A
